price,volume,cap,circ_supply,act_supply,big_wallets,add_count,deposits,withdrawls,tps
8405.16,1500000.0,14000000000000.0,17035960.76,15238252.92,16857918.45,22189606.0,212000000.0,174000000.0,2.1
8564.06,1000000.0,14000000000000.0,17037811.15,15239743.34,16861944.38,22203936.0,177000000.0,197000000.0,1.85
8590.96,1600000.0,14000000000000.0,17039461.69,15242062.58,16863065.67,22212354.0,297000000.0,369000000.0,2.45
8633.22,1200000.0,14000000000000.0,17041287.18,15242969.2,16862488.71,22222491.0,234000000.0,256000000.0,2.41
8268.59,1100000.0,14000000000000.0,17043525.1,15245383.38,16861668.73,22244567.0,244000000.0,316000000.0,2.48
8245.44,90000000.0,14000000000000.0,17045175.8,15246709.06,16861161.62,22193469.0,202000000.0,253000000.0,2.2
8093.54,82000000.0,13000000000000.0,17047026.46,15248322.93,16865939.64,22178816.0,268000000.0,271000000.0,2.5
8257.04,51000000.0,14000000000000.0,17048951.77,15251519.37,16867531.97,22192717.0,116000000.0,123000000.0,1.94
8395.73,58000000.0,14000000000000.0,17050752.19,15252840.48,16873181.49,22228944.0,140000000.0,136000000.0,1.85
8446.7,67000000.0,14000000000000.0,17052715.06,15254194.42,16873891.06,22217345.0,230000000.0,203000000.0,2.33
8190.43,79000000.0,14000000000000.0,17054602.88,15256233.71,16869797.67,22238367.0,195000000.0,204000000.0,2.4
7714.46,1400000.0,13000000000000.0,17056628.43,15258255.4,16864595.22,22255300.0,355000000.0,269000000.0,2.58
7504.86,1100000.0,12000000000000.0,17058416.52,15259208.49,16866834.25,22295075.0,312000000.0,309000000.0,2.35
7469.44,84000000.0,12000000000000.0,17060617.07,15262421.01,16866654.21,22311776.0,177000000.0,245000000.0,2.3
7483.36,48000000.0,12000000000000.0,17062642.33,15263349.17,16866940.34,22339684.0,108000000.0,115000000.0,1.8
7305.04,47000000.0,12000000000000.0,17064692.6,15265269.92,16868950.62,22368711.0,95280000.0,138000000.0,1.66
7229.72,78000000.0,12000000000000.0,17066643.11,15267290.68,16867209.11,22334869.0,204000000.0,216000000.0,2.23
